parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	initializationPriorType	initializationPriorParameters	objectivePriorType	objectivePriorParameters
hill_Gcl	hill_Gcl	lin	6.14e-06	162754.8	5	0	parameterScaleUniform	-1;1		;
hill_Keap1	hill_Keap1	lin	6.14e-06	162754.8	5	0	parameterScaleUniform	-1;1		;
hill_P62	hill_P62	lin	6.14e-06	162754.8	5	0	parameterScaleUniform	-1;1		;
hill_Srxn1	hill_Srxn1	log	6.14e-06	162754.8	3.64886648910712	1	parameterScaleUniform	-1;1		;
importKeapP62	importKeapP62	lin	6.14e-06	162754.8	20	0	parameterScaleUniform	-1;1		;
off_Gsh	off_Gsh	log	6.14e-06	162754.8	2.55495303356545	1	parameterScaleUniform	-1;1		;
off_aKeap1P62	off_aKeap1P62	log	6.14e-06	162754.8	1.66998878524051	1	parameterScaleUniform	-1;1		;
off_nNrf2	off_nNrf2	log	6.14e-06	162754.8	1.92531598275971	1	parameterScaleUniform	-1;1		;
prodROS	prodROS	log	6.14e-06	162754.8	0.0154940069587981	1	parameterScaleUniform	-1;1		;
s_aKeap1P62	s_aKeap1P62	log	6.14e-06	162754.8	1.29460382003198	1	parameterScaleUniform	-1;1		;
time	time	log10	6.14e-06	162754.8	0.856	0	parameterScaleUniform	-1;1		;
